filename,positive_count,negative_count,positive_fraction
44984.png,10726,24989274,0.00042904
51782.png,14928,24985072,0.00059712
51792.png,26833,24973167,0.00107332
51793.png,3874,24996126,0.00015496
52613.png,18365,24981635,0.0007346
52721.png,19699,24980301,0.00078796
52722.png,14341,24985659,0.00057364
52741.png,13458,24986542,0.00053832
52743.png,13880,24986120,0.0005552
52744.png,1791,24998209,7.164e-05
52803.png,8866,24991134,0.00035464
52814.png,2701,24997299,0.00010804
52843.png,19113,24980887,0.00076452
52883.png,359,24999641,1.436e-05
52951.png,14335,24985665,0.0005734
52953.png,5811,24994189,0.00023244
52983.png,8594,24991406,0.00034376
53691.png,16377,24983623,0.00065508
53693.png,13039,24986961,0.00052156
53794.png,16643,24983357,0.00066572
53902.png,8079,24991921,0.00032316
53904.png,5485,24994515,0.0002194
53921.png,7418,24992582,0.00029672
53932.png,0,25000000,0.0
53982.png,10042,24989958,0.00040168
54041.png,5771,24994229,0.00023084
54071.png,173,24999827,6.92e-06
54074.png,6723,24993277,0.00026892
54174.png,11868,24988132,0.00047472
54213.png,13335,24986665,0.0005334
54234.png,12282,24987718,0.00049128
54251.png,15337,24984663,0.00061348
54281.png,14071,24985929,0.00056284
54311.png,15843,24984157,0.00063372
54332.png,309,24999691,1.236e-05
54333.png,13537,24986463,0.00054148
54342.png,2121,24997879,8.484e-05
54344.png,27566,24972434,0.00110264
54371.png,14779,24985221,0.00059116
54382.png,2169,24997831,8.676e-05
54383.png,8699,24991301,0.00034796
54412.png,11404,24988596,0.00045616
54421.png,18397,24981603,0.00073588
54442.png,5786,24994214,0.00023144
54453.png,6209,24993791,0.00024836
54471.png,4013,24995987,0.00016052
54473.png,23553,24976447,0.00094212
54482.png,12240,24987760,0.0004896
54543.png,15833,24984167,0.00063332
54553.png,2776,24997224,0.00011104
54632.png,18904,24981096,0.00075616
54673.png,16311,24983689,0.00065244
54681.png,6643,24993357,0.00026572
54854.png,6108,24993892,0.00024432
54952.png,5664,24994336,0.00022656
55003.png,9786,24990214,0.00039144
55214.png,217,24999783,8.68e-06
55501.png,12495,24987505,0.0004998
62072.png,7045,24992955,0.0002818
62093.png,15854,24984146,0.00063416
62274.png,4540,24995460,0.0001816
62284.png,2531,24997469,0.00010124
62382.png,12531,24987469,0.00050124
62393.png,18537,24981463,0.00074148
62482.png,2192,24997808,8.768e-05
62491.png,4895,24995105,0.0001958
63002.png,23809,24976191,0.00095236
63062.png,6155,24993845,0.0002462
63203.png,12687,24987313,0.00050748
63223.png,8548,24991452,0.00034192
63321.png,2005,24997995,8.02e-05
63341.png,8661,24991339,0.00034644
63351.png,52381,24947619,0.00209524
63353.png,19004,24980996,0.00076016
63371.png,20817,24979183,0.00083268
63422.png,16140,24983860,0.0006456
63431.png,22758,24977242,0.00091032
63543.png,22247,24977753,0.00088988
63602.png,14049,24985951,0.00056196
63694.png,27126,24972874,0.00108504
63843.png,13669,24986331,0.00054676
63951.png,392,24999608,1.568e-05
63962.png,1605,24998395,6.42e-05
63981.png,239,24999761,9.56e-06
63984.png,12641,24987359,0.00050564
64043.png,5121,24994879,0.00020484
64051.png,16762,24983238,0.00067048
64081.png,22996,24977004,0.00091984
64101.png,8989,24991011,0.00035956
64112.png,21289,24978711,0.00085156
64131.png,6119,24993881,0.00024476
64143.png,2328,24997672,9.312e-05
64161.png,797,24999203,3.188e-05
64213.png,5081,24994919,0.00020324
64231.png,7028,24992972,0.00028112
64244.png,32304,24967696,0.00129216
64261.png,8147,24991853,0.00032588
64324.png,2308,24997692,9.232e-05
64342.png,7163,24992837,0.00028652
64354.png,1598,24998402,6.392e-05
64431.png,325,24999675,1.3e-05
64531.png,12156,24987844,0.00048624
64642.png,848,24999152,3.392e-05
64714.png,2816,24997184,0.00011264
64723.png,15203,24984797,0.00060812
64731.png,0,25000000,0.0
64744.png,29345,24970655,0.0011738
64784.png,25413,24974587,0.00101652
64831.png,1181,24998819,4.724e-05
64833.png,7,24999993,2.8e-07
64873.png,28529,24971471,0.00114116
64933.png,30851,24969149,0.00123404
64951.png,34113,24965887,0.00136452
64953.png,8302,24991698,0.00033208
64962.png,14262,24985738,0.00057048
64981.png,9928,24990072,0.00039712
65834.png,3609,24996391,0.00014436
74032.png,8214,24991786,0.00032856
