epoch,iter,total_loss
1,1251,1.1855
2,1251,0.8304
3,1251,0.6184
4,1251,0.4888
5,1251,0.4357
6,1251,0.4494
7,1251,0.3912
8,1251,0.3709
9,1251,0.3614
10,1251,0.4695
11,1251,0.3705
12,1251,0.3385
13,1251,0.3342
14,1251,0.3305
15,1251,0.3303
16,1251,0.3331
17,1251,0.3188
18,1251,0.3174
19,1251,0.3193
20,1251,0.3184
21,1251,0.3157
22,1251,0.3121
23,1251,0.3096
24,1251,0.3091
25,1251,0.3068
26,1251,0.3081
27,1251,0.3047
28,1251,0.3057
29,1251,0.3068
30,1251,0.3018
31,1251,0.3022
32,1251,0.3008
33,1251,0.2994
34,1251,0.133
35,1251,0.0447
36,1251,0.0402
37,1251,0.0454
38,1251,0.0311
39,1251,0.029
40,1251,0.0295
